epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,5903.5,0.38441,0.26193,0.99213,0.87947,0.86146,0.9111,0.85296,0.34123,0.46995,0.96854,0.00113873,0.00113873,0.00113873
81,5977.1,0.38054,0.25855,0.99543,0.90012,0.84208,0.90973,0.85119,0.3434,0.48272,0.97529,0.00104537,0.00104537,0.00104537
82,6050.7,0.37694,0.25405,0.9884,0.88505,0.85545,0.91078,0.85205,0.3393,0.48323,0.96757,0.000955951,0.000955951,0.000955951
83,6124.37,0.37544,0.25465,0.98547,0.89496,0.85162,0.9123,0.85422,0.34052,0.48687,0.96916,0.000870577,0.000870577,0.000870577
84,6197.82,0.37674,0.25416,0.98762,0.88582,0.85807,0.90997,0.85287,0.34218,0.48923,0.97277,0.000789327,0.000789327,0.000789327
85,6271.19,0.37046,0.24775,0.98787,0.87713,0.86246,0.90837,0.85196,0.33926,0.4889,0.97101,0.000712282,0.000712282,0.000712282
86,6344.67,0.372,0.24837,0.98336,0.86791,0.87354,0.90912,0.85318,0.34123,0.48572,0.97447,0.000639518,0.000639518,0.000639518
87,6418.31,0.36586,0.24672,0.98268,0.90294,0.83651,0.90955,0.85393,0.33938,0.48792,0.97306,0.000571106,0.000571106,0.000571106
88,6492.08,0.37059,0.24411,0.98656,0.90076,0.8398,0.90893,0.85357,0.34011,0.49634,0.97437,0.000507115,0.000507115,0.000507115
89,6565.62,0.36774,0.24427,0.98362,0.90546,0.83896,0.90931,0.85386,0.33835,0.49441,0.97266,0.000447606,0.000447606,0.000447606
90,6639.31,0.36341,0.24062,0.98266,0.90653,0.83797,0.90906,0.85353,0.34019,0.49212,0.97414,0.00039264,0.00039264,0.00039264
91,6713.55,0.28605,0.16209,0.90296,0.8698,0.8761,0.90803,0.85043,0.34218,0.48025,0.97782,0.00034227,0.00034227,0.00034227
92,6787.17,0.2786,0.15078,0.89876,0.86903,0.87816,0.90901,0.85059,0.34415,0.47862,0.97962,0.000296546,0.000296546,0.000296546
93,6860.33,0.27864,0.14952,0.89808,0.87026,0.87726,0.90841,0.85104,0.34454,0.48376,0.98077,0.000255513,0.000255513,0.000255513
94,6933.57,0.27414,0.14654,0.89349,0.8708,0.87988,0.90866,0.85066,0.34375,0.48862,0.98028,0.000219212,0.000219212,0.000219212
95,7007.1,0.27013,0.14436,0.89171,0.87246,0.87906,0.90778,0.84949,0.34417,0.49003,0.98305,0.000187678,0.000187678,0.000187678
96,7080.7,0.26656,0.14562,0.89207,0.87415,0.8762,0.90844,0.85023,0.3432,0.49251,0.9819,0.000160943,0.000160943,0.000160943
97,7154.4,0.27282,0.14486,0.89495,0.87373,0.87409,0.90705,0.8502,0.34205,0.49414,0.98048,0.000139032,0.000139032,0.000139032
98,7228.19,0.26457,0.14029,0.88625,0.87736,0.87063,0.90747,0.85074,0.34206,0.49367,0.981,0.000121968,0.000121968,0.000121968
99,7301.91,0.27123,0.14362,0.89264,0.87665,0.87238,0.90797,0.85133,0.34239,0.49497,0.9823,0.000109768,0.000109768,0.000109768
100,7375.37,0.26355,0.1419,0.88844,0.8786,0.87277,0.90896,0.85221,0.34081,0.49147,0.98075,0.000102443,0.000102443,0.000102443
